Year,Period,Area,Series Code,Industry,Adjustment,Benchmark,No. of jobs,Production Workers,Weekly Earnings,Hourly Earnings,Hours Worked,Hierarchical Ordering
2020,March,Texas,00000000,Total Nonfarm,Not Adjusted,2020,"12,869,400",N/A,N/A,N/A,N/A,1
2020,March,Texas,00000000,Total Nonfarm,Adjusted,2020,"12,906,000",N/A,N/A,N/A,N/A,1
2020,March,Texas,05000000,Total Private,Not Adjusted,2020,"10,837,300",N/A,N/A,N/A,N/A,2
2020,March,Texas,05000000,Total Private,Adjusted,2020,"10,904,800",N/A,N/A,N/A,N/A,2
2020,March,Texas,06000000,Goods Producing,Not Adjusted,2020,"1,916,000",N/A,N/A,N/A,N/A,3
2020,March,Texas,06000000,Goods Producing,Adjusted,2020,"1,921,200",N/A,N/A,N/A,N/A,3
2020,March,Texas,15000000,"Mining, Logging and Construction",Not Adjusted,2020,"1,009,400",N/A,N/A,N/A,N/A,4
2020,March,Texas,15000000,"Mining, Logging and Construction",Adjusted,2020,"1,013,300",N/A,N/A,N/A,N/A,4
2020,March,Texas,10000000,Mining and Logging,Not Adjusted,2020,"232,400","170,000",1418.65,30.12,47.1,5
2020,March,Texas,10000000,Mining and Logging,Adjusted,2020,"233,400",N/A,N/A,N/A,N/A,5
2020,March,Texas,10210000,"Mining, Quarrying, and Oil and Gas Extraction",Not Adjusted,2020,"231,000","161,400",1430.16,30.3,47.2,6
2020,March,Texas,10211000,Oil and Gas Extraction,Not Adjusted,2020,"72,400",N/A,N/A,N/A,N/A,7
2020,March,Texas,10213000,Support Activities for Mining,Not Adjusted,2020,"145,600",N/A,N/A,N/A,N/A,8
2020,March,Texas,20000000,Construction,Not Adjusted,2020,"777,000",N/A,N/A,N/A,N/A,9
2020,March,Texas,20000000,Construction,Adjusted,2020,"779,900",N/A,N/A,N/A,N/A,9
2020,March,Texas,20236000,Construction of Buildings,Not Adjusted,2020,"162,500",N/A,N/A,N/A,N/A,10
2020,March,Texas,20237000,Heavy and Civil Engineering Construction,Not Adjusted,2020,"182,000",N/A,N/A,N/A,N/A,11
2020,March,Texas,20237100,Utility System Construction,Not Adjusted,2020,"117,800",N/A,N/A,N/A,N/A,12
2020,March,Texas,20237300,"Highway, Street, and Bridge Construction",Not Adjusted,2020,"39,900",N/A,N/A,N/A,N/A,13
2020,March,Texas,20238000,Specialty Trade Contractors,Not Adjusted,2020,"432,500",N/A,N/A,N/A,N/A,14
2020,March,Texas,20238100,"Foundation, Structure, and Building Exterior Contractors",Not Adjusted,2020,"88,700",N/A,N/A,N/A,N/A,15
2020,March,Texas,20238200,Building Equipment Contractors,Not Adjusted,2020,"203,800",N/A,N/A,N/A,N/A,16
2020,March,Texas,20238300,Building Finishing Contractors,Not Adjusted,2020,"65,900",N/A,N/A,N/A,N/A,17
2020,March,Texas,20238900,Other Specialty Trade Contractors,Not Adjusted,2020,"74,100",N/A,N/A,N/A,N/A,18
2020,March,Texas,30000000,Manufacturing,Not Adjusted,2020,"906,600","644,000",970.11,22.88,42.4,19
2020,March,Texas,30000000,Manufacturing,Adjusted,2020,"907,900",N/A,N/A,N/A,N/A,19
2020,March,Texas,31000000,Durable Goods,Not Adjusted,2020,"581,400","411,300",1093.68,25.2,43.4,20
2020,March,Texas,31000000,Durable Goods,Adjusted,2020,"581,600",N/A,N/A,N/A,N/A,20
2020,March,Texas,31321000,Wood Product Manufacturing,Not Adjusted,2020,"25,200",N/A,N/A,N/A,N/A,21
2020,March,Texas,31327000,Nonmetallic Mineral Product Manufacturing,Not Adjusted,2020,"38,900",N/A,N/A,N/A,N/A,22
2020,March,Texas,31327300,Cement and Concrete Product Manufacturing,Not Adjusted,2020,"24,000",N/A,N/A,N/A,N/A,23
2020,March,Texas,31331000,Primary Metal Manufacturing,Not Adjusted,2020,"20,100",N/A,N/A,N/A,N/A,24
2020,March,Texas,31331100,Iron and Steel Mills and Ferroalloy Manufacturing,Not Adjusted,2020,"5,100",N/A,N/A,N/A,N/A,25
2020,March,Texas,31332000,Fabricated Metal Product Manufacturing,Not Adjusted,2020,"130,400","100,400",962.58,22.81,42.2,26
2020,March,Texas,31332300,Architectural and Structural Metals Manufacturing,Not Adjusted,2020,"47,900",N/A,N/A,N/A,N/A,27
2020,March,Texas,31333000,Machinery Manufacturing,Not Adjusted,2020,"95,800",N/A,N/A,N/A,N/A,28
2020,March,Texas,31333100,"Agriculture, Construction, and Mining Machinery Manufacturing",Not Adjusted,2020,"44,200",N/A,N/A,N/A,N/A,29
2020,March,Texas,31334000,Computer and Electronic Product Manufacturing,Not Adjusted,2020,"94,900",N/A,N/A,N/A,N/A,30
2020,March,Texas,31334200,Communications Equipment Manufacturing,Not Adjusted,2020,"11,600",N/A,N/A,N/A,N/A,31
2020,March,Texas,31334400,Semiconductor and Other Electronic Component Manufacturing,Not Adjusted,2020,"41,400",N/A,N/A,N/A,N/A,32
2020,March,Texas,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Not Adjusted,2020,"21,200",N/A,N/A,N/A,N/A,33
2020,March,Texas,31335000,"Electrical Equipment, Appliance, and Component Manufacturing",Not Adjusted,2020,"20,200",N/A,N/A,N/A,N/A,34
2020,March,Texas,31336000,Transportation Equipment Manufacturing,Not Adjusted,2020,"98,500",N/A,N/A,N/A,N/A,35
2020,March,Texas,31336100,Motor Vehicle Manufacturing,Not Adjusted,2020,"12,500",N/A,N/A,N/A,N/A,36
2020,March,Texas,31336400,Aerospace Product and Parts Manufacturing,Not Adjusted,2020,"49,500",N/A,N/A,N/A,N/A,37
2020,March,Texas,31337000,Furniture and Related Product Manufacturing,Not Adjusted,2020,"24,000",N/A,N/A,N/A,N/A,38
2020,March,Texas,31339000,Miscellaneous durable goods manufacturing,Not Adjusted,2020,"33,400",N/A,N/A,N/A,N/A,39
2020,March,Texas,32000000,Non-Durable Goods,Not Adjusted,2020,"325,200","232,700",751.1,18.5,40.6,40
2020,March,Texas,32000000,Non-Durable Goods,Adjusted,2020,"326,300",N/A,N/A,N/A,N/A,40
2020,March,Texas,32311000,Food Manufacturing,Not Adjusted,2020,"100,100",N/A,N/A,N/A,N/A,41
2020,March,Texas,32311600,Animal Slaughtering and Processing,Not Adjusted,2020,"41,400",N/A,N/A,N/A,N/A,42
2020,March,Texas,32312000,Beverage and Tobacco Product Manufacturing,Not Adjusted,2020,"18,700",N/A,N/A,N/A,N/A,43
2020,March,Texas,32323000,Printing and Related Support Activities,Not Adjusted,2020,"24,500",N/A,N/A,N/A,N/A,44
2020,March,Texas,32324000,Petroleum and Coal Products Manufacturing,Not Adjusted,2020,"21,400",N/A,N/A,N/A,N/A,45
2020,March,Texas,32325000,Chemical Manufacturing,Not Adjusted,2020,"84,300",N/A,N/A,N/A,N/A,46
2020,March,Texas,32325100,Basic Chemical Manufacturing,Not Adjusted,2020,"35,700",N/A,N/A,N/A,N/A,47
2020,March,Texas,32325400,Pharmaceutical and Medicine Manufacturing,Not Adjusted,2020,"13,600",N/A,N/A,N/A,N/A,48
2020,March,Texas,32326000,Plastics and Rubber Products Manufacturing,Not Adjusted,2020,"41,700",N/A,N/A,N/A,N/A,49
2020,March,Texas,07000000,Service-Providing,Not Adjusted,2020,"10,953,400",N/A,N/A,N/A,N/A,50
2020,March,Texas,07000000,Service-Providing,Adjusted,2020,"10,984,800",N/A,N/A,N/A,N/A,50
2020,March,Texas,08000000,Private Service Providing,Not Adjusted,2020,"8,921,300",N/A,N/A,N/A,N/A,51
2020,March,Texas,08000000,Private Service Providing,Adjusted,2020,"8,983,600",N/A,N/A,N/A,N/A,51
2020,March,Texas,40000000,"Trade, Transportation, and Utilities",Not Adjusted,2020,"2,506,000",N/A,N/A,N/A,N/A,52
2020,March,Texas,40000000,"Trade, Transportation, and Utilities",Adjusted,2020,"2,534,000",N/A,N/A,N/A,N/A,52
2020,March,Texas,41000000,Wholesale Trade,Not Adjusted,2020,"610,900","505,700",967.89,24.38,39.7,53
2020,March,Texas,41000000,Wholesale Trade,Adjusted,2020,"612,500",N/A,N/A,N/A,N/A,53
2020,March,Texas,41423000,"Merchant Wholesalers, Durable Goods",Not Adjusted,2020,"376,500",N/A,N/A,N/A,N/A,54
2020,March,Texas,41423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Not Adjusted,2020,"32,200",N/A,N/A,N/A,N/A,55
2020,March,Texas,41423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,Not Adjusted,2020,"93,500",N/A,N/A,N/A,N/A,56
2020,March,Texas,41423600,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,Not Adjusted,2020,"41,500",N/A,N/A,N/A,N/A,57
2020,March,Texas,41423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",Not Adjusted,2020,"95,600","80,500",970.26,23.55,41.2,58
2020,March,Texas,41424000,"Merchant Wholesalers, Nondurable Goods",Not Adjusted,2020,"194,900",N/A,N/A,N/A,N/A,59
2020,March,Texas,41424400,Grocery and Related Product Merchant Wholesalers,Not Adjusted,2020,"67,700",N/A,N/A,N/A,N/A,60
2020,March,Texas,41424600,Chemical and Allied Products Merchant Wholesalers,Not Adjusted,2020,"21,200",N/A,N/A,N/A,N/A,61
