Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,3.1,3.7,3.8,3.6,3.5,3.6,2.9,3.5,3.9,3.6,3.5,4.0
2012,3.2,3.8,3.8,3.6,3.7,3.7,3.5,4.0,3.5,3.7,3.9,4.0
2013,3.9,3.6,3.5,3.9,3.8,3.2,3.8,3.7,3.6,3.6,3.4,3.6
2014,3.6,3.8,3.8,3.9,4.1,4.1,4.1,3.5,4.2,4.3,4.3,4.2
2015,4.4,3.9,4.1,4.0,3.7,4.2,4.3,4.0,4.4,4.1,4.3,4.0
2016,3.5,4.3,4.3,4.2,4.0,3.6,4.7,4.0,4.1,4.3,4.1,3.9
2017,3.8,4.2,4.2,4.0,4.1,4.4,4.1,4.5,4.4,4.4,4.6,4.0
2018,4.5,4.3,4.3,4.5,4.9,4.6,4.7,4.7,4.6,4.8,4.4,4.7
2019,5.0,4.6,4.7,4.6,4.5,4.3,4.6,4.5,4.3,4.0,4.0,4.4
2020,4.2,4.5,3.4,2.8,6.2,4.7,4.1,5.0,4.7,4.5,5.1,4.1
2021,4.0,3.8,4.4,4.7,4.3,4.2,4.5,4.7,4.8,,,
