Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,326,383,397,383,371,387,312,369,416,387,373,428
2012,347,414,412,393,405,401,382,435,385,411,435,439
2013,435,400,389,434,424,363,430,417,408,405,384,411
2014,410,433,433,449,478,474,480,409,493,505,507,498
2015,524,457,484,474,441,499,508,473,522,487,512,482
2016,423,520,516,500,476,435,565,478,493,519,497,477
2017,457,512,507,487,499,542,498,551,538,536,562,496
2018,550,532,532,557,618,575,589,586,582,602,562,591
2019,634,585,594,584,577,550,595,579,548,513,521,568
2020,539,585,443,322,727,564,497,598,569,550,631,513
2021,493,469,547,584,543,536,573,600,613,,,
