Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,251,241,247,240,253,292,291,253,312,321,330,338
2012,387,303,369,380,379,361,344,335,349,353,347,341
2013,350,380,368,361,401,358,363,354,349,342,343,401
2014,365,381,402,399,425,455,455,495,456,449,453,458
2015,473,426,428,485,477,475,559,535,506,578,531,529
2016,541,565,619,533,549,510,518,489,516,467,511,542
2017,450,454,479,489,454,480,455,474,521,480,432,438
2018,490,482,491,481,509,583,580,520,560,573,610,623
2019,612,593,591,621,604,575,578,596,559,540,537,498
2020,523,534,429,302,402,452,456,511,609,582,566,554
2021,552,610,712,771,835,902,928,887,807,,,
