Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,3.1,3.5,3.3,3.3,3.1,3.2,3.3,3.4,3.3,3.5,3.6,3.6
2012,3.4,3.0,3.3,3.4,3.4,3.8,3.3,3.9,3.4,3.4,4.0,3.4
2013,3.3,3.7,3.3,3.7,3.6,3.4,3.6,3.4,3.8,3.6,3.3,3.1
2014,3.5,3.5,3.5,3.9,3.7,4.1,4.2,4.1,4.1,3.8,4.0,4.2
2015,4.0,4.4,4.2,3.8,3.6,3.8,3.9,3.9,4.2,4.1,4.0,3.8
2016,4.1,4.3,4.1,3.8,4.3,3.9,4.1,4.2,3.7,4.3,4.4,4.0
2017,4.0,4.0,4.3,4.0,4.2,4.6,4.2,4.1,4.7,4.8,4.1,4.1
2018,4.4,4.2,4.0,4.4,4.3,4.6,4.5,4.6,4.6,4.4,4.3,4.4
2019,4.4,4.4,4.4,4.5,3.8,3.9,4.2,4.5,4.0,3.7,3.9,4.2
2020,4.0,4.0,9.3,8.7,3.9,4.1,3.9,3.8,4.0,4.0,4.1,4.7
2021,3.6,3.7,4.0,3.8,3.9,3.9,3.8,3.8,4.4,,,
