Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,324,367,350,350,327,339,353,357,354,372,384,386
2012,361,326,361,366,373,412,360,430,369,376,445,372
2013,370,417,373,410,402,385,408,382,426,406,373,356
2014,404,405,399,451,433,470,483,476,473,443,472,498
2015,478,515,493,453,421,445,464,467,497,492,480,459
2016,494,514,493,459,515,464,488,500,452,523,536,480
2017,490,487,528,490,510,565,515,496,573,593,505,509
2018,539,524,501,543,533,571,566,576,577,556,544,552
2019,557,560,554,573,488,495,537,579,518,478,505,546
2020,519,525,1201,1004,456,485,463,457,488,489,501,578
2021,445,463,499,479,490,487,488,480,560,,,
